State,County,Latitude,Longitude,Cluster_Groups,Cluster_Names
alabama,autauga,32.4691,-86.4732,1,cluster_group_1
alabama,baldwin,30.5231,-87.74485,1,cluster_group_1
alabama,barbour,31.85925,-85.45055,2,cluster_group_2
alabama,bibb,32.99505,-87.12425,2,cluster_group_2
alabama,blount,33.9132,-86.60495,1,cluster_group_1
alabama,bullock,31.9833,-85.7409,2,cluster_group_2
alabama,butler,31.6641,-86.7491,2,cluster_group_2
alabama,calhoun,33.6584,-85.8264,2,cluster_group_2
alabama,chambers,32.88585,-85.2586,2,cluster_group_2
alabama,cherokee,34.1887,-85.6068,2,cluster_group_2
alabama,chilton,32.8323,-86.7239,2,cluster_group_2
alabama,choctaw,32.0308,-88.25995,2,cluster_group_2
alabama,clarke,31.7667,-87.7614,2,cluster_group_2
alabama,clay,33.2133,-85.7896,2,cluster_group_2
alabama,cleburne,33.6469,-85.453,2,cluster_group_2
alabama,coffee,31.3547,-85.92865,1,cluster_group_1
alabama,colbert,34.7482,-87.6853,2,cluster_group_2
alabama,conecuh,31.37205,-87.11955,2,cluster_group_2
alabama,coosa,32.9453,-86.092,2,cluster_group_2
alabama,covington,31.29715,-86.41005,2,cluster_group_2
alabama,crenshaw,31.79925,-86.30195,2,cluster_group_2
alabama,cullman,34.1643,-86.8081,2,cluster_group_2
alabama,dale,31.39515,-85.6399,1,cluster_group_1
alabama,dallas,32.4101,-87.00365,2,cluster_group_2
alabama,dekalb,34.4855,-85.804,2,cluster_group_2
alabama,elmore,32.57645,-86.2458,1,cluster_group_1
alabama,escambia,31.0765,-87.4613,2,cluster_group_2
alabama,etowah,34.0189,-86.0444,1,cluster_group_1
alabama,fayette,33.7096,-87.7393,2,cluster_group_2
alabama,franklin,34.4126,-87.7825,2,cluster_group_2
alabama,geneva,31.0998,-85.7933,2,cluster_group_2
alabama,greene,32.8752,-87.9013,2,cluster_group_2
alabama,hale,32.7506,-87.611,2,cluster_group_2
alabama,henry,31.5553,-85.3186,2,cluster_group_2
alabama,houston,31.2125,-85.3137,1,cluster_group_1
alabama,jackson,34.7452,-85.9925,2,cluster_group_2
alabama,jefferson,33.51815,-86.80825,1,cluster_group_1
alabama,lamar,33.7528,-88.1018,2,cluster_group_2
alabama,lauderdale,34.8962,-87.666,1,cluster_group_1
alabama,lawrence,34.5686,-87.2749,2,cluster_group_2
alabama,lee,32.6127,-85.3737,1,cluster_group_1
alabama,limestone,34.7964,-86.92125,1,cluster_group_1
alabama,lowndes,32.1938,-86.6035,2,cluster_group_2
alabama,macon,32.4048,-85.7281,2,cluster_group_2
alabama,madison,34.7229,-86.6258,1,cluster_group_1
alabama,marengo,32.2952,-87.7855,2,cluster_group_2
alabama,marion,34.1134,-87.8676,2,cluster_group_2
alabama,marshall,34.32225,-86.3029,2,cluster_group_2
alabama,mobile,30.6913,-88.1062,1,cluster_group_1
alabama,monroe,31.5148,-87.3702,2,cluster_group_2
alabama,montgomery,32.3745,-86.256,1,cluster_group_1
alabama,morgan,34.5379,-86.9388,1,cluster_group_1
alabama,perry,32.55105,-87.417,2,cluster_group_2
